Game Name,Executable Timestamp,Executable Filename,Executable Hash (MD5),Most Recent File Timestamp,Most Recent Filename,Most Recent File Hash (MD5),Volume Creation Date,Volume Modification Date,Filename
0 kara no Mahjong: Mahjong Youchien Tamago-gumi ,1998-02-03 20:53:06,/SLPS_013.11,2739c4f1021d8a7315dbe3afb6122820,,,,1998-02-03 21:00:00,1998-02-03 21:00:00,0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan) (Track 1).bin
0 kara no Shougi: Shougi Youchien Ayumi-gumi ,1999-02-19 23:01:40,/SLPS_019.86,62da9bea4273623115dd91f23976a25f,1999-02-19 23:01:44,/A000/A000.,82850bd5580cbf6559f337a9a0977ad8,1999-02-21 00:00:00,,0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan) (Track 1).bin
007: Demain ne Meurt Jamais ,1999-10-15 13:16:40,/SLES_023.75,a5a6a46cab2246c3a4431942d5b8e112,1999-10-15 13:16:50,/L12/LVL12CD.BIN,56b599b8ae381293999d4608e259e4cd,1999-10-05 11:30:17,,007 - Demain ne Meurt Jamais (France).bin
007: Der Morgen Stirbt Nie ,1999-10-15 13:13:20,/SLES_023.76,f2b18de3ce3ba751550c05735bdc8dae,1999-10-15 13:13:34,/SHDATA/SHBIN.BIN,23f616d79969202e94b52318c876709d,1999-10-15 15:02:37,,007 - Der Morgen Stirbt Nie (Germany).bin
007: Die Welt Ist Nicht Genug ,2000-09-25 13:14:22,/SLES_031.36,4a03c08473cd78336aef9fd45aa78069,2000-09-25 13:14:36,/L11/LVL11CD.BIN,5199cc0830d8de458c437d54b656e84c,,,007 - Die Welt Ist Nicht Genug (Germany).bin
007: El Mundo Nunca es Suficiente ,2000-09-22 19:42:56,/SLES_031.37,f9cb085ea61b208f381efb3c641931db,2000-09-22 19:43:12,/L11/LVL11CD.BIN,f5282e771773a97311185b1382e3a6fd,,,007 - El Mundo Nunca es Suficiente (Spain).bin
007: Le Monde ne Suffit Pas ,2000-09-22 19:42:26,/SLES_031.35,bd38b76d3a5b5b912d2302e6162027e6,2000-09-22 19:42:38,/L10/LVL10CD.BIN,2b2ed0fbdb8f1ccae12b7ec9c20bf9af,,,007 - Le Monde ne Suffit Pas (France).bin
007: The World Is Not Enough ,2000-09-22 20:01:28,/SLES_031.34,3093f78500dd948c4e2e51e49c52336e,2000-09-22 20:01:40,/L11/LVL11CD.BIN,ad53be673ceba6c0ef3b3a27b03c7452,,,007 - The World Is Not Enough (Europe).bin
007: The World Is Not Enough ,2000-09-22 19:54:00,/SLES_031.38,c5360d05597c2c1aeb753d04b6aa06f0,2000-09-22 19:54:16,/L10/LVL10CD.BIN,cebee41421ff2c9a99f4ceb0adab37c3,,,007 - The World Is Not Enough (Sweden).bin
007: The World Is Not Enough ,2000-08-25 19:12:32,/SLUS_012.72,ab46dc4c9cee4e19558f82c754b2d40d,2000-08-25 19:12:38,/SHDATA/SHBIN.BIN,02d08fd7b2fe851dc9c0e41904d134a4,,,007 - The World Is Not Enough (USA) (Beta).bin
